date,year,quarter,"AGRICULTURA, SILVICULTURA, CAZA Y PESCA",PETRÓLEO CRUDO Y GAS NATURAL,MINERALES METÁLICOS Y NO METÁLICOS,INDUSTRIA MANUFACTURERA,"ELECTRICIDAD, GAS Y AGUA",CONSTRUCCIÓN,COMERCIO,TRANSPORTE Y COMUNICACIONES,"ESTABLECIMIENTOS FINANCIEROS, SEGUROS, BIENES INMUEBLES Y SERVICIOS A LAS EMPRESAS",SERVICIOS DE LA ADMINISTRACIÓN PÚBLICA,OTROS SERVICIOS,SERVICIOS BANCARIOS IMPUTADOS,PIB A PRECIOS BÁSICOS,"DERECHOS DE IMPORTACIÓN, IVA, IT Y OTROS IMPUESTOS INDIRECTOS",PIB A PRECIOS DE MERCADO
2007-10-01,2007,4,857632.1283065303,528262.4938697693,369735.93818526895,1346713.2536150014,169307.92183905223,326388.0768414302,549409.2070217915,783303.4102837602,780081.8154619337,717280.4681279872,499451.1114660612,-225521.17705656306,6702044.6479620235,790358.0365617775,7492402.684523801
2008-01-01,2008,1,952803.1025433968,481838.5923667958,405489.9901406369,1094596.6535644436,121632.61388837501,124475.98569014983,554098.6142821029,717707.6406203763,820949.6424536112,603869.8246790724,504915.3108888367,-258379.96377847393,6123998.007339323,713879.8416293352,6837877.848968659
2008-04-01,2008,2,1306809.74544396,473112.57215491764,475254.4887724251,1292153.0625115286,148694.68634317728,195337.77305847532,700124.2314031611,764431.0948190719,957551.7965361949,660253.3415448725,511055.84387065284,-267061.41017520067,7217717.226283236,737456.2692240902,7955173.495507327
2008-07-01,2008,3,888929.053834814,517047.1972283309,541165.0808530824,1366733.0822136777,136061.00505016127,271620.00865792314,625129.800321404,881778.7434357296,833231.2225875591,685482.7610641959,515405.012596485,-285889.5684243521,6976693.399419011,701525.9060361884,7678219.3054551985
2008-10-01,2008,4,873846.667070577,516036.26543976617,489111.858007024,1356040.846178714,173213.07886975017,359482.7125760865,570541.3642435591,825634.2033631855,803648.0042880644,707583.7547681874,513081.1006496434,-232903.67089966836,6955316.18455489,851239.4713270406,7806555.65588193
2009-01-01,2009,1,990511.8578149272,388155.4471773189,487222.0153817034,1117618.673597192,126883.30931088107,133537.3623950287,572658.1271032791,748271.4768507255,855126.9121699329,633313.6029524298,518209.8724212228,-272245.54539684945,6299263.111777793,740246.8824847452,7039509.994262538
2009-04-01,2009,2,1364268.1359688395,443738.03084109095,524993.5244586795,1356456.5926518762,158013.38891496792,210823.8923265283,729604.6305648788,805101.1970815972,987204.6683580719,702476.6110438509,525543.0118619971,-274699.3416997669,7533524.342372611,596642.2900175038,8130166.632390115
2009-07-01,2009,3,924861.4597230336,464661.59760909324,567839.9606917313,1450387.8172065353,144520.5926928182,300769.3747767499,659843.8449058309,945720.1344446948,872797.5703791844,727799.5313121415,530987.3589280577,-310403.6280709837,7279785.614598886,676976.2011023373,7956761.815701224
2009-10-01,2009,4,890849.0397862024,423479.34462549625,520105.38710212393,1430860.8744123694,185590.37856315952,408678.78991137387,607919.3362898438,868446.6224879402,841854.9714525631,765877.0107292524,532731.7053215372,-240218.25558669955,7236175.205095163,931639.1148558175,8167814.31995098
2010-01-01,2010,1,984889.7049982275,418857.40331362427,493784.949715998,1168979.839498436,134154.96142083142,145751.0621561667,598443.0008577061,787449.4930438075,900297.3210266423,683586.7449920067,533984.3768608099,-279666.61947812326,6570512.238406132,695715.1401024866,7266227.378508618
