year,department,isic_section,sector_label,value,base_year
1997,beni,,"- Textiles, Prendas de Vestir y Productos del Cuero",15771.695441945229,1990
1997,beni,,- Transporte y Almacenamiento,47469.58917400552,1990
1997,beni,,"1. Agricultura, Silvicultura, Caza y Pesca",272480.5136150474,1990
1997,beni,,10. Restaurantes y Hoteles,24584.060695954628,1990
1997,beni,,11. Servicios de la Administración Pública,68855.13323587997,1990
1997,beni,,2. Extracción de Minas y Canteras,16712.6321542509,1990
1997,beni,,3. Industrias Manufactureras,132915.03030873428,1990
1997,beni,,"4. Electricidad, Gas y Agua",6090.911986587882,1990
1997,beni,,5. Construcción,24408.368862889027,1990
1997,beni,,6. Comercio,63478.4309905582,1990
1997,beni,,"7. Transporte, Almacenamiento y Comunicaciones",62602.452067597136,1990
1997,beni,,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",51243.53110757023,1990
1997,beni,,"9. Servicios Comunales, Sociales, Personales y Domésticos",29787.745284004297,1990
1997,beni,,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",12003.283994333293,1990
1997,beni,,PRODUCTO INTERNO BRUTO (a precios básicos),752374.122395862,1990
1997,beni,,PRODUCTO INTERNO BRUTO (a precios de mercado),764377.4063901952,1990
1997,beni,,Servicios Bancarios Imputados,-784.6879132119246,1990
1998,beni,,- Alimentos,97551.61242857248,1990
1998,beni,,- Bebidas y Tabaco,884.4313580830238,1990
1998,beni,,- Coca,0.0,1990
1998,beni,,- Comunicaciones,23111.3224681396,1990
1998,beni,,- Madera y Productos de Madera,6600.497047624087,1990
1998,beni,,- Minerales Metálicos y no Metálicos,19695.049867714137,1990
1998,beni,,- Otras Industrias Manufactureras,4301.44271324992,1990
1998,beni,,- Petróleo Crudo y Gas Natural,0.0,1990
1998,beni,,- Productos Agrícolas Industriales,2714.559398833443,1990
1998,beni,,- Productos Agrícolas no Industriales,28886.722326326548,1990
1998,beni,,- Productos Pecuarios,199935.84590188117,1990
1998,beni,,- Productos de Minerales no Metálicos,7270.215793505535,1990
1998,beni,,- Productos de Refinación del Petróleo,0.0,1990
1998,beni,,- Propiedad de Vivienda,40518.02838352405,1990
1998,beni,,- Servicios Financieros,3624.52371166965,1990
1998,beni,,- Servicios a las Empresas,11376.86300795231,1990
1998,beni,,"- Silvicultura, Caza y Pesca",38937.29469287992,1990
1998,beni,,"- Textiles, Prendas de Vestir y Productos del Cuero",15880.96097505012,1990
1998,beni,,- Transporte y Almacenamiento,28065.67214352538,1990
1998,beni,,"1. Agricultura, Silvicultura, Caza y Pesca",270474.4223199211,1990
1998,beni,,10. Restaurantes y Hoteles,25514.194868532373,1990
1998,beni,,11. Servicios de la Administración Pública,72548.24221730286,1990
1998,beni,,2. Extracción de Minas y Canteras,19695.049867714137,1990
1998,beni,,3. Industrias Manufactureras,132489.16031608515,1990
1998,beni,,"4. Electricidad, Gas y Agua",4133.950350192319,1990
1998,beni,,5. Construcción,30509.536658769553,1990
1998,beni,,6. Comercio,88961.3320784086,1990
1998,beni,,"7. Transporte, Almacenamiento y Comunicaciones",51176.99461166498,1990
1998,beni,,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",55519.415103146006,1990
1998,beni,,"9. Servicios Comunales, Sociales, Personales y Domésticos",29484.20544813389,1990
1998,beni,,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",14611.714504094454,1990
1998,beni,,PRODUCTO INTERNO BRUTO (a precios básicos),777204.6636647168,1990
1998,beni,,PRODUCTO INTERNO BRUTO (a precios de mercado),791816.3781688112,1990
1998,beni,,Servicios Bancarios Imputados,-3301.840175154136,1990
1999,beni,,- Alimentos,100985.49459952244,1990
1999,beni,,- Bebidas y Tabaco,838.1271401432883,1990
1999,beni,,- Coca,0.0,1990
1999,beni,,- Comunicaciones,23057.046222992765,1990
1999,beni,,- Madera y Productos de Madera,7112.485690786154,1990
1999,beni,,- Minerales Metálicos y no Metálicos,23067.13191640364,1990
1999,beni,,- Otras Industrias Manufactureras,4556.254626174225,1990
1999,beni,,- Petróleo Crudo y Gas Natural,0.0,1990
1999,beni,,- Productos Agrícolas Industriales,3152.0397778630613,1990
1999,beni,,- Productos Agrícolas no Industriales,33312.92035699903,1990
1999,beni,,- Productos Pecuarios,219154.91871095775,1990
1999,beni,,- Productos de Minerales no Metálicos,8209.333911320846,1990
1999,beni,,- Productos de Refinación del Petróleo,0.0,1990
1999,beni,,- Propiedad de Vivienda,41430.42422947451,1990
1999,beni,,- Servicios Financieros,5931.102225339339,1990
1999,beni,,- Servicios a las Empresas,16971.728439839644,1990
1999,beni,,"- Silvicultura, Caza y Pesca",40784.39846156205,1990
1999,beni,,"- Textiles, Prendas de Vestir y Productos del Cuero",17019.829975493085,1990
1999,beni,,- Transporte y Almacenamiento,30565.3830747662,1990
1999,beni,,"1. Agricultura, Silvicultura, Caza y Pesca",296404.2773073819,1990
1999,beni,,10. Restaurantes y Hoteles,26310.136194251732,1990
1999,beni,,11. Servicios de la Administración Pública,73308.48050048735,1990
1999,beni,,2. Extracción de Minas y Canteras,23067.13191640364,1990
1999,beni,,3. Industrias Manufactureras,138721.52594344004,1990
1999,beni,,"4. Electricidad, Gas y Agua",6301.223568478545,1990
1999,beni,,5. Construcción,33960.64896148898,1990
1999,beni,,6. Comercio,93041.92578345272,1990
1999,beni,,"7. Transporte, Almacenamiento y Comunicaciones",53622.429297758965,1990
