date,roi,no2_tropos_col_mol_m2,n_valid_days,sensor
2006-01-01,santa_cruz,6.26664199525307e-06,22,OMI
2006-02-01,santa_cruz,8.029479578826814e-06,19,OMI
2006-03-01,santa_cruz,6.908192876894218e-06,23,OMI
2006-04-01,santa_cruz,9.00460022452835e-06,24,OMI
2006-05-01,santa_cruz,8.284807378209206e-06,27,OMI
2006-06-01,santa_cruz,1.2454750055895036e-05,18,OMI
2006-07-01,santa_cruz,1.0397833184364916e-05,25,OMI
2006-08-01,santa_cruz,1.8112599147003754e-05,27,OMI
2006-09-01,santa_cruz,2.4895398159002165e-05,25,OMI
2006-10-01,santa_cruz,1.0288450044424862e-05,22,OMI
2006-11-01,santa_cruz,9.858259232916159e-06,19,OMI
2006-12-01,santa_cruz,8.123468205291808e-06,20,OMI
2007-01-01,santa_cruz,,13,OMI
2007-02-01,santa_cruz,8.383633586243587e-06,19,OMI
2007-03-01,santa_cruz,7.386200446330458e-06,23,OMI
2007-04-01,santa_cruz,7.519225225899329e-06,26,OMI
2007-05-01,santa_cruz,7.811274346548812e-06,15,OMI
2007-06-01,santa_cruz,1.1927864643629682e-05,26,OMI
2007-07-01,santa_cruz,1.6094770399109716e-05,21,OMI
2007-08-01,santa_cruz,1.4056251553467803e-05,28,OMI
2007-09-01,santa_cruz,4.9909018809529e-05,27,OMI
2007-10-01,santa_cruz,2.5611853615739914e-05,23,OMI
2007-11-01,santa_cruz,8.907532288706618e-06,19,OMI
2007-12-01,santa_cruz,9.640546724958655e-06,19,OMI
2008-01-01,santa_cruz,1.1777326641577152e-05,17,OMI
2008-02-01,santa_cruz,6.696615092893843e-06,16,OMI
2008-03-01,santa_cruz,8.961615927193335e-06,18,OMI
2008-04-01,santa_cruz,8.990643442388045e-06,19,OMI
2008-05-01,santa_cruz,7.903139525150353e-06,22,OMI
2008-06-01,santa_cruz,1.05529436219456e-05,18,OMI
2008-07-01,santa_cruz,1.2042116727151901e-05,27,OMI
2008-08-01,santa_cruz,1.3962811312907272e-05,24,OMI
2008-09-01,santa_cruz,1.4030245564791277e-05,22,OMI
2008-10-01,santa_cruz,1.4703470618554358e-05,22,OMI
2008-11-01,santa_cruz,1.1067683820324824e-05,23,OMI
2008-12-01,santa_cruz,1.0062937568158677e-05,18,OMI
2009-01-01,santa_cruz,7.940028226777571e-06,21,OMI
2009-02-01,santa_cruz,9.501129757536666e-06,21,OMI
2009-03-01,santa_cruz,7.238588845746712e-06,18,OMI
2009-04-01,santa_cruz,8.89019226312448e-06,18,OMI
2009-05-01,santa_cruz,1.2070150127681697e-05,15,OMI
2009-06-01,santa_cruz,9.556700200978512e-06,19,OMI
2009-07-01,santa_cruz,9.400588368133023e-06,17,OMI
2009-08-01,santa_cruz,1.1139975937517449e-05,20,OMI
2009-09-01,santa_cruz,1.0200960874338318e-05,17,OMI
2009-10-01,santa_cruz,1.0852047208392386e-05,20,OMI
2009-11-01,santa_cruz,1.4039406859338979e-05,17,OMI
2009-12-01,santa_cruz,,14,OMI
2010-01-01,santa_cruz,,12,OMI
2010-02-01,santa_cruz,,14,OMI
2010-03-01,santa_cruz,7.263961265148538e-06,18,OMI
2010-04-01,santa_cruz,8.576240353338329e-06,18,OMI
2010-05-01,santa_cruz,8.37908982230526e-06,15,OMI
2010-06-01,santa_cruz,1.0448203432883819e-05,19,OMI
2010-07-01,santa_cruz,1.2638620499470358e-05,15,OMI
2010-08-01,santa_cruz,3.3466241833919536e-05,16,OMI
2010-09-01,santa_cruz,4.944868426205196e-05,16,OMI
2010-10-01,santa_cruz,2.7378841016351668e-05,18,OMI
2010-11-01,santa_cruz,2.2719089613300372e-05,16,OMI
2010-12-01,santa_cruz,8.456818200248485e-06,20,OMI
2011-01-01,santa_cruz,8.981914553004424e-06,20,OMI
2011-02-01,santa_cruz,,13,OMI
2011-03-01,santa_cruz,7.0762502272569266e-06,16,OMI
2011-04-01,santa_cruz,8.926788699676878e-06,17,OMI
2011-05-01,santa_cruz,1.1863564584924301e-05,20,OMI
2011-06-01,santa_cruz,1.1120611193863094e-05,16,OMI
2011-07-01,santa_cruz,1.5822746255407484e-05,15,OMI
2011-08-01,santa_cruz,,14,OMI
2011-09-01,santa_cruz,4.439861279390018e-05,17,OMI
2011-10-01,santa_cruz,3.276272043993229e-05,15,OMI
2011-11-01,santa_cruz,1.7028731569020742e-05,15,OMI
2011-12-01,santa_cruz,8.833650047784537e-06,17,OMI
2012-01-01,santa_cruz,8.899579448302261e-06,20,OMI
2012-02-01,santa_cruz,1.0905558328704745e-05,18,OMI
2012-03-01,santa_cruz,7.06659669492584e-06,19,OMI
2012-04-01,santa_cruz,,14,OMI
2012-05-01,santa_cruz,1.0514137301723281e-05,17,OMI
2012-06-01,santa_cruz,1.1952012314160964e-05,18,OMI
2012-07-01,santa_cruz,1.5009057783084627e-05,21,OMI
2012-08-01,santa_cruz,2.0497160408843e-05,22,OMI
2012-09-01,santa_cruz,3.448877239929736e-05,22,OMI
2012-10-01,santa_cruz,2.5697029827871653e-05,21,OMI
2012-11-01,santa_cruz,2.163258787886004e-05,19,OMI
2012-12-01,santa_cruz,8.397956342497392e-06,19,OMI
2013-01-01,santa_cruz,8.208008201158746e-06,22,OMI
2013-02-01,santa_cruz,7.286610056672272e-06,16,OMI
2013-03-01,santa_cruz,7.716790058902576e-06,16,OMI
2013-04-01,santa_cruz,9.877058101629397e-06,15,OMI
2013-05-01,santa_cruz,9.689972812106716e-06,20,OMI
2013-06-01,santa_cruz,,12,OMI
2013-07-01,santa_cruz,1.267608227374878e-05,20,OMI
2013-08-01,santa_cruz,2.3271379995994494e-05,21,OMI
2013-09-01,santa_cruz,3.8354390271216005e-05,18,OMI
2013-10-01,santa_cruz,2.980654527651967e-05,20,OMI
2013-11-01,santa_cruz,1.83730144057809e-05,19,OMI
2013-12-01,santa_cruz,1.2869726729355506e-05,20,OMI
2014-01-01,santa_cruz,1.1740294118729029e-05,19,OMI
2014-02-01,santa_cruz,,13,OMI
2014-03-01,santa_cruz,,13,OMI
2014-04-01,santa_cruz,8.82654383404501e-06,17,OMI
2014-05-01,santa_cruz,,12,OMI
2014-06-01,santa_cruz,,12,OMI
2014-07-01,santa_cruz,1.1191458788409297e-05,20,OMI
2014-08-01,santa_cruz,2.4338216236491298e-05,25,OMI
2014-09-01,santa_cruz,3.953335517422967e-05,21,OMI
2014-10-01,santa_cruz,2.358535959033035e-05,21,OMI
2014-11-01,santa_cruz,2.39358162839885e-05,17,OMI
2014-12-01,santa_cruz,1.2561837256162359e-05,19,OMI
2015-01-01,santa_cruz,8.888761913639522e-06,19,OMI
